image,description,display name,category,image_path,img_ok
39300.jpg,-,Red Chief Men Brown Shoes,Casual Shoes,39300.jpg,True
4738.jpg,"The simple design of these numero uno shoes have an understated elegance. The sturdy yet comfortable design takes you through the day in style. These preppy shoes look good when teamed up with jeans and polo neck tees for casual outings. Upper   Synthetic leather uppers for protection and durability  Lace-ups for snug Fit  Cushioned collar and lightly padded tongue for greater comfort  Embossed marking on the sides with brand seal on the side  Logo name on the tongue and embossed logo name on the heel collar   Midsole   Cushioned insole for all day comfort   Outsole   Rubber outsole in contrast colour with horizontal wave pattern for durability and traction   shoe care Rub surface with soft, clean, damp cloth to remove dust Do not machine wash",Numero Uno Men's Greenbay Whte Green Shoe,Casual Shoes,4738.jpg,True
34636.jpg,"Designed for runners who never compromise on style and comfort, the XD III running shoe from lotto comes with a durable synthetic upper and a grippy rubber outsole that keeps you safe and stable on various surfaces. Upper Heavily meshed upper with startegically placed patent leather overlay on the forefoot for breathable comfort and enhanced shoe structure Lacing system for a snug, customised Fit Padded collar for breathable comfort and snug fit Cushioned footbed for shock absorption Branding on the sides, at the back of the collar and on the tongue Midsole Phylon midsole for lightweight comfort and impact protection Outsole Durable rubber outsole with terraced lugs on the forefoot and midfoot and circular grooves on the big toe mount for absolute grip and traction Shoe care Wipe surface with a clean, dry cloth to remove dust Do not store in direct sunlight",Lotto Men XD III Grey Shoes,Casual Shoes,34636.jpg,True
51752.jpg,Black round toed mary janes Panelled upper with dotted pattern Elasticated strap with velcro closures at the midfoot Patch at heel collar with branding on lateral foot Mildly padded footbed TPU outsole with grooves,Catwalk Women Black Pumps,Casual Shoes,51752.jpg,True
22847.jpg,"woodland, a giant in the outdoor shoe industry, comes up with this rugged shoe with a refined stance. Faux snake hide patterned overlays on the woodsy upper adds a high fashion twist. Crafted with hand-picked Italian leather and soles finished with German technology, your footwear closet is incomplete without a Woodland shoe. Wear this with cargos, chinos or washed denims and a checked casual shirt. Style this with a tonal belt. Upper Two-tone synthetic upper with leather overlays across the toe box, and rubber overlay on the midfoot Central lace ups Outsole reinforced onto the upper on the heel region with branding Padded tongue Padded insole for in-step comfort Removable sockliner to accommodate an orthotic Midsole Rubber midsole for cushioned comfort Outsole Dual density TPU outsole with perforated terraced grooves on the heel Geometric lugs on the forefoot Shoe care Wipe surface with soft, clean, damp cloth to remove dust Do not store in direct sunlight",Woodland Men Camel Casual Shoes,Casual Shoes,22847.jpg,True
8249.jpg,"Dedicated to Basketball champ Chuck Taylor, this Chuck Taylor All-Star series from converse are also called Chucks and come in classic designs. Created using canvas and rubber, this range of sneakers from Converse was initially designed to capture the basketball market, but soon enough turned into a hot casual footwear favourite. Upper   Canvas upper for easy maintenance and durability  Carbon rubber toe box for enhanced protection of the forefoot  Long canvas tongue for added comfort and snug Fit  Lace-ups through metal eyelets for snug fit and durability   Midsole   Comfort Insole made of contoured latex foam for high energy return and cushioning   Outsole   Vulcanized rubber outsole for flexibility and traction  Diamond-shaped lugs on the forefoot and heel, with horizontal lugs and grooves on the toe and heel region, and slanting grooves along the periphery and midfoot for superior grip on all terrains   shoe care Make a paste using 1 tbsp of baking soda, 1 tbsp white vinegar and 1 tbsp hot water Rub this paste onto the canvas and the sole using a brush Wash off with lukewarm water",Converse Unisex Chuck Logo Print Black Canvas,Casual Shoes,8249.jpg,True
6490.jpg,Look stylish with these brown leather shoes from red tape. These shoes are designed for comfort and will look great when teamed with jeans and shirts for a casuall look. Upper   High quality suede uppers for comfort and durability  Lace-ups for snug Fit  Soft leather lining for greater comfort   Midsole   Cushioned footbed for all-day comfort   Outsole   Outsole with grooved pattern on the forefoot for better design   shoe care Use a branded shoe polish to keep your leather footwear clean and shiny,Red Tape Men Brown Formal Shoe,Casual Shoes,6490.jpg,True
39948.jpg,"Style Note ""Everywhere is walking distance if you have the time"" said Steven Wright. Prove this with gas' Walk shoe. With a sturdy outsole, a comfy insole and easy to wear slip-on styling under it's belt, this shoe is the right choice for a long evening walk. Style this with just about any casual wear ensemble and look great! Product Details Synthetic perforated toe box with slip on styling and elasticated gussets at the side of the tongue Canvas upper at the back foot region Mildly padded footbed PU midsole with foxing at the toe box Textured TPU footbed Material and Care Synthetic Do not machine wash or store in direct sunlight Remove dust and dirt with dry clean cloth",GAS Men White Casual Shoes,Casual Shoes,39948.jpg,True
8983.jpg,"These stylish Evo Ducati Lo shoes from puma are great for urban wear. These shoes that carry the Ducati edge are great for regular wear since their attractive low-profile design looks great when teamed with jeans and tees for a cool casual look.   Upper Synthetic leather uppers for durability and protection Mesh tongue for enhanced breathability Lace-ups for snug Fit Padded collar and tongue for greater comfort Textile lining for extra comfort Brand name appliqued on the tongue and cat logo behind collar Cupsole for added comfort Ducati brand tab on the side and embossed behind the heel   Midsole  Eco-friendly EcoOrtholite insole gives breathability, moisture control, anti-microbial properties, and long term cushioning EVa midsole for greater shock absorption   Outsole Non-slip rubber outsole for greater traction Pivot points on the big toe mound and heel for easy 180 degree movement Flex grooves for greater flexibility of the feet   ",Puma Men Evo Ducati Lo Black Casual Shoes,Casual Shoes,8983.jpg,True
39891.jpg,"Style Note The adidas Neptune shoe has a simplistic, stylish design featuring the 3-stripes in a distinctive style to either side along with the Adidas logo on the heel and tongue. This running shoe with the air cushioned midsole is all you need to feel and perform like a champion. The contrast synthetic (Adidas trademark three stripes) adds a nice dimension Product Details Synthetic uppers with mesh inlays for professional use and durability with perforations around the toe Fabric lining for comfort and central lace-up system for comfortable customised Fit Padded tongue and collar for snug fit with Adidas branding on synthetic patch over heel cup Full length foam midsole for lightweight structure Soft, cushioned footbed for great comfort all day Non marking rubber outsole with multi directional triangular lugs for maximum grip and traction Outsole provides abrasion resistant support and protection for whole foot Branding on the outsole and a deep groove at the heel for maximum mobility Material and care Synthetic, mesh Wipe with clean dry cloth to remove dust Do not machine wash",ADIDAS Men Grey Neptune Shoes,Casual Shoes,39891.jpg,True
10305.jpg,"Blending classic style with a laidback Sports influence, this Rocco Fuse leather shoe from clarks delivers a contemporary look with absolute comfort. The flexible sole that offers all-day wearability, this modern shoe can be worn barefoot as well for that stylish edge. Upper Full leather upper with stitch detailing and toe box overlay for absolute durability, breath ability, comfort and style Lacing system with trims for eyelets offering a snug, customized Fit Hairsheep inner lining for absolute comfort and abrasion-free lining Brand badge on lateral ankle for style PU foxing for durability Midsole PU midsole for lightweight, flexible comfort Cushioned footbed for all-day comfort Outsole Durable rubber panels stacked together to create the outsole for absolute grip and traction Shoe care Wipe surface with dry, clean cloth to remove dust Brush using a branded leather conditioner to restore shoe shine Do not store in direct sunlight",Clarks Men Rocco Fuse Brown Casual Shoes,Casual Shoes,10305.jpg,True
29554.jpg,"A great slip-on shoe from vans, so comfortable, practical and durable you'll want to wear it every day. Built by skateboarders, for skateboarders, but loved by all for the perfect blend of classic cool and modern slick style. If you don't yet own a pair then this is a good place to start, and if you're already a Vans fan there's always room for one more great shoe in your closet. With a conservative upper, this slip on will coordinate with all your outfits, while the lining gives this shoe a little stylish lift. Upper Fabric upper for durability and comfort Padded collar and textile lining for extra comfort Elasticated inserts on the sides of the tongue for easy insertion and removal of the feet Brand name on the back, on the lasting Cushioned footbed for all day comfort Midsole PU midsole for better shock absorption with double foxing Outsole Rubber outsole for durability Reverse waffle pattern for better grip Shoe care Wipe surface with soft, clean cloth to remove dust Do not use a drier or store in direct sunlight",Vans Unisex Classic Slip-On Red & Black Shoes,Casual Shoes,29554.jpg,True
50741.jpg,"Style Note  Lend a new season twist to your wardrobe with this pair of red chief shoes. Crafted from the highest quality leather (that's also recyclable!) which won't burn a hole in your pocket - this is your go-to option for comfy leather footwear!   Product Details  Black square toed shoe with slip on styling, has midfoot strap with a velcro closure and rivet details  Padded tongue and inner  Upper adhered to the outsole  Thick TPU outsole with a triangular and oval lugs and a stacked heel   Material and Care  Leather  Wipe with clean dry cloth to remove dust  Do not store under direct sunlight",Red Chief Men Black Shoes,Casual Shoes,50741.jpg,True
6497.jpg,"Look stylish with these brown leather shoes in a classic design from red tape. These shoes in a sneaker design are created for comfort and will look great when teamed with jeans and tees for a casual look. Upper   High quality leather uppers with distressed look for protection, comfort and durability  Brown leather panel overlays for extra style  Cushioned collar and tongue for greater comfort  Lace-ups for snug Fit  Textile lining for greater comfort   Midsole   Cushioned footbed for all-day comfort   Outsole   Rubber outsole with TPR lugs on the forefoot and heel for better grip and durability   shoe care Use a branded shoe polish to keep your leather footwear clean and shiny",Red Tape Men's Leather Brown Shoe,Casual Shoes,6497.jpg,True
14480.jpg,"An eclectic fusion of hot style and cutting edge design, this shoe from flying machine is a great way to attain a cult status. Made with a canvas and nubuck upper, this is a must-have in your casual wardrobe. Upper Canvas upper with a nubuck toe box for absolute breathable comfort and support High ankle with a synthetic tape deatiling around the mouth Padded tongue with a fabric inner lining for sweat-free comfort Cushioned footbed with a fabric lining for sweat-free comfort and impact-protection Lace-up system for a snug, customised Fit Midsole EVA midsole for absolute impact protection Outsole Durable rubber outsole with waffle pattern lugs throughout and horizontal grooves on the upper midfoot for absolute grip and traction Shoe care Clean the nubuck toe box using a nubuck brush To clean the canvas, make a paste using 1 tbsp of baking soda, 1 tbsp white vinegar and 1 tbsp hot water. Rub this paste onto the canvas and the sole using a brush. Wash off with lukewarm water.",Flying Machine Men Blue Casual Shoes,Casual Shoes,14480.jpg,True
23911.jpg,"The fila Terindalo shoe is fila's reinterpretation of the classic sneaker. The brand comes up with yet another sleek and stylish low-top pair with this shoe. With minimal overlays, this shoe nails the simplistic mood of the moment. Wear this with your favourite denims and a T-shirt or with classic denims, a structured blazer and a monochrome tee. Upper Synthetic upper upper for lightweight comfort and absolute breathability Synthetic overlays strategically placed for added shoe structure Lace-up system for a snug, customised Fit Padded and meshed tongue and collar for snug, all-day comfort Midsole PU midsole for lightweight comfort and absolute shock absorption Fabric footbed for sweat-free wear Outsole Patterned TPR outsole with a suction point at the big toe region for absolute grip and traction Shoe care Wipe surface with a damp, clean cloth to remove dust and dirt Do not machine wash or store in direct sunlight",Fila Men Terrindalo Black Casual Shoes,Casual Shoes,23911.jpg,True
41469.jpg,"Style Note  Look adorable in this pair of classic sandals from carlton london. The false tiger skin patch on the toe region and fabric straps offer a contemporary glamourous look. Slip into them with a flowy dress and a shoulder bag, and enjoy those shopping sprees in the winter sun in comfort and style.   Product Details  Beige slip-ons with overlays, stitched detailing, false tiger skin patch and tie up detail on the forefoot  Soft footbed  Upper adhered to the outsole  Textured rubber outsole with a raised heel   Material and Care  Synthetic  Wipe surface with a dry, clean cloth to remove dirt  Do not store in direct sunlight",Carlton London Women Cream Shoes,Casual Shoes,41469.jpg,True
49503.jpg,"Black, round toed shoes with central lace up fastening and a high top Leather upper with stitched detail and reinforced overlays at the heel collar and overlays Soft inner lining and tongue, padded heel collar and footbed EVA midsole with foxing Rubber si",Vans Men Black Casual Shoes,Casual Shoes,49503.jpg,True
13385.jpg,"Your search for that absolutely comfortable walking shoe comes to an end with the timberland Pathlite Low Gore-Tex shoe. With a smooth suede, nubuck and mesh upper, this shoe offers comfort at its best. Upper Mesh upper made of Gore-Tex for absolute breathable comfort and waterproofing Strategically placed suede and nubuck overlays for enhanced shoe structure Padded tongue and collar for snug, breathable comfort Haul loop to sling shoes from a backpack Leather toe box and heel cap for enhanced durability Agile IQ System foam footbed with perforations for enhanced all-day comfort Midsole Phylon midsole for lightweight comfort and impact protection Outsole Durable rubber outsole with multi-directional lugs for absolute grip and traction Propel technology in the toe region for absolute traction Flex grooves in the forefoot for easy movement Brake system in the back heel for absolute grip on various terrain Arched midfoot for enhanced support Shoe care Wipe dust with a dry, clean cloth Use a nubuck and suede brush Do not wash or store in direct sunlight",Timberland Women Femmes Tan Casual Shoes,Casual Shoes,13385.jpg,True
17693.jpg,"This is an excellent cross-over shoe from casual to formal.  vans are offering you their classic slip-on shoe – comfort, practicality, durability... and adding the sophistication of slick black leather.  Perfect for those times you have to look smart but don't want to sacrifice your rebellious side and cool style.  Upper Leather uppers for durability and comfort Padded collar and textile lining for extra comfort Elasticated sides on the tongue for easy insertion and removal of the feet Brand name on the back, on the lasting Cushioned footbed for all day comfort  Midsole EVA midsole for better shock absorption  Outsole Rubber outsole for durability Reverse waffle pattern for better grip Lasting with toe counter for extra protection to the toes  Shoe care Wipe surface with soft, clean cloth to remove dust Do not use a drier or store in direct sunlight",Vans Men Classic Slip-On Black Casual Shoes,Casual Shoes,17693.jpg,True
7396.jpg,"Take casual dressing to the next level with these grey leather slip-ons from red tape. The rugged design coupled with high quality materials makes this pair a great choice for everyday casual wear.    Team this with jeans and shirts for a laid back look. Upper   Rugged leather uppers    for durability and protection  Stitch detailing for added style and    reinforcement  Elasticated inserts on the side of the tongue for easy insertion and removal of the feet  Brand tab appliqued on the tongue  Fabric lining for greater comfort  Padded collar for greater comfort   Midsole   Padded footbed for all-day comfort  PU midsole for lightweight comfort   Outsole   Durable rubber outsole vertically textured to offer maximum grip on smooth surfaces  PU lining in the form of an '8', acting as the toe and heel foxing and running along the midfoot for enhanced support   shoe care Wipe leather surface with dry, clean cloth to remove dust Use a branded leather conditioner to maintain shine Do not store in direct sunlight",Red Tape Men Grey Casual Shoes,Casual Shoes,7396.jpg,True
55626.jpg,"Square toed, black, derby shoes Leather upper with reinforced overlay at the heel collar and a pull-up tab at the ankle Top stitched overlays on the upper Central lace ups with metal branding on the lateral side Mildly padded collar and tongue TPR out-sole with grooves and branding",Numero Uno Men Black Shoes,Casual Shoes,55626.jpg,True
38537.jpg,"Style Note If you're looking for a way to enhance your sneaker-wear to a more classic, old-school appeal, kicks from the puma Mid Evo leather shoe are a great way to make a start! Product Details Crinkled-leather upper for style and comfort Padded collar and tongue for enhanced comfort and a snug Fit Suede form-stripe detail in self colour Upper stitched to the outsole for extra durability Mid ankle support for comfort Brand name embossed on the heel guard Breathable fabric lining and a cushioned foot-bed for all-day comfort. TPU and EVA midsole combined to offer support and ample cushioning TPU outsole with the jumping cat branding and concentric grooves with pivot points  Material and Care Rubber, synthetic Do not machine wash Remove dust and dirt with dry clean cloth",Puma Men Black Mid Evo Leather Shoes,Casual Shoes,38537.jpg,True
26670.jpg,"puma has its roots in Germany, and the brand is known for its minimalist design in high-end athletic footwear. Crafted in the brand's signature style, these puma Street Step Mid shoes are the right solution for brand conscious comfort junkies. These sandals are great for regular wear as they ensure superior traction and protection to the feet, without compromising on comfort and style. Upper Leather upper with high top styling Synthetic twill tape laces Comfort insole with padded tongue to ensure a snug, comfortable Fit Canvas lining for added comfort Leather mud guard and a heel bumper Elasticated insert above the heel collar Midsole PU midsole with double foxing Outsole Rubber outsole with terraced lugs and branding shoe care Rub surface with clean, damp cloth to remove dust Do not store in direct sunlight",Puma Men Street Step Mid White Shoes,Casual Shoes,26670.jpg,True
50751.jpg,"Style Note Lend a new season twist to your wardrobe with this pair of red chief shoes. Crafted from the highest quality leather (that's also recyclable!) which won't burn a hole in your pocket - this is your go-to option for comfy leather footwear. Product Details Mushroom brown shoe, with central lace-ups, inlays, overlays and perforations on the sides Padded tongue and inner Thick rubber midsole with branding embossed on the lateral side and stitch detailing TPU outsole with multi directional lugs, arched midfoot and an upraised heel Material and Care Leather Wipe with clean dry cloth to remove dust Do not store under direct sunlight",Red Chief Men Mushroom Brown Shoes,Casual Shoes,50751.jpg,True
21747.jpg,"vans Era taps into the classic striped mood of the moment with this low-top pair. Wear this spin off of the classic Vans Era with off-duty essentials. Stylish enough to wear sockless. Vans uses textures of canvas on the heel collar, perfect to match the rich denim hues in your ensemble.  Upper Canvas upper with pinstripes Vanslite super-soft molded and contoured EVA sandal sock liner Central lacing system Logo flag on midfoot Padded tongue and collar for instep comfort Cut low at the ankle for style  Midsole PU midsole for better shock absorption PU foxing on the toe box  Outsole Geometric patterned sole texture on the flexible vulcanized gum rubber outsole  shoe care Wipe surface with soft, clean cloth to remove dust Do not use a drier or store in direct sunlight",Vans Unisex  Era Black Casual Shoes,Casual Shoes,21747.jpg,True
39974.jpg,"Brown, round toed shoes with a stacked heel and central lace up fastening Suede upper with wingtip brogueing, overlays and reinforced overlay at the heel collar Soft inner and tongue, padded footbed Textured rubber outsole",Gas Men Brown Lear Shoes,Casual Shoes,39974.jpg,True
8247.jpg,"Dedicated to Basketball champ Chuck Taylor, this Chuck Taylor All-Star series from converse are also called Chucks and come in classic designs. Created using canvas and rubber, this range of sneakers from Converse was initially designed to capture the basketball market, but soon enough turned into a hot casual footwear favourite. Upper   Canvas upper for easy maintenance and durability  Carbon rubber toe box for enhanced protection of the forefoot  Long canvas tongue for added comfort and snug Fit  Lace-ups through metal eyelets for snug fit and durability   Midsole   Comfort Insole made of contoured latex foam for high energy return and cushioning   Outsole   Vulcanized rubber outsole for flexibility and traction  Diamond-shaped lugs on the forefoot and heel, with horizontal lugs and grooves on the toe and heel region, and slanting grooves along the periphery and midfoot for superior grip on all terrains   shoe care Make a paste using 1 tbsp of baking soda, 1 tbsp white vinegar and 1 tbsp hot water Rub this paste onto the canvas and the sole using a brush Wash off with lukewarm water",Converse Unisex Mono Black Canvas,Casual Shoes,8247.jpg,True
41454.jpg,"Style Note Epitomising uptown cool, these pumped-up kicks from lee Copper add a refined touch to your casual ensemble. Designed like a lifestyle shoe but equipped with sport shoe features, this pair is perfect for a shopping run on the city sidewalk, a quick coffee date or a fun game of soccer with the neighbourhood brats. Product Details White, blunt toed casual shoe with red overlays and plastic covered inlays Perforations on the forefoot region for breathability Central lace-ups with a padded tongue and fabric inner Upper adhered to the TPU outsole Two piece outsole grooves at the periphery with patterned grooves and lugs Material and Care Synthetic Wipe with a clean dry cloth to remove dust",Lee Cooper Men White Shoes,Casual Shoes,41454.jpg,True
47239.jpg,Style Note Pumped up kicks have never looked this good! playboy comes up witj a high-top sneaker. Indulge in high street hip hop cool and pair these high tops with denims gathered at the ankles or rolled up at the ankle. Style them with an all black ensemble or wear it with a monochrome tee and a simple pair of denims. Product Details Red shiny high-top upper with central lace-ups and and an ankle strap with a Velcro closure Fabric padded inner EVA midsole with foxing TPU outsole  with herringbone grooves all over Material and Care Synthetic Wipe with a cotton swab to remove dus,Playboy Men Red Shoes,Casual Shoes,47239.jpg,True
5903.jpg,"Style Note puma will teach you how to breeze through life looking absolutely brilliant with this pair of shoes. Great for casual wear with a pair of jeans or shorts or perhaps a workout at the gym, these shoes are just right to revolutionise your wardrobe. Product Details Mesh upper with synthetic suede overlays for structure and breathability Formstripe on both sides Cushioned collar and tongue for plush comfort Lace-ups for snug  Fit Full-length lateral groove in the midsole to reinforce stability throughout the gait cycle OrthoLite sockliner for superior comfort, material regeneration, air circulation and anti-microbial function EverRide technology to reduce weight and improve forefoot cushioning EverTrack in the outsole for greater durability in high-wear areas Rocker shape of outsole allows for natural stride with an effortless toe-off Flex grooves built across the waffle patterned outsole to enhance flexibility Material and Care Mesh Wipe surface with soft, clean, damp cloth to remove dust Do not machine wash Do not store in direct sunlight",Puma Men's Faas 300 Red Shoe,Casual Shoes,5903.jpg,True
59396.jpg,"Green round toed, athletic shoes with central lace up fastening Synthetic upper with stitched detail, overlays and reinforced overlay at the heel collar and around the toe box Mesh padded inner and tongue, soft padded footbed Foxing around the toe box Upper adhered to the outsole Thick rubber outsole with grooves for greater traction and grip Comes with a shoe bag",Gliders Men Charcoal Shoes,Casual Shoes,59396.jpg,True
34542.jpg,"Take casual dressing to the next level with these nubuck shoes from red tape. Stylish to the hilt and an absolute comfort to the feet, they're a perfect addition to your wardrobe for those afternoons relaxing at the bar or lounge. Team this with chinos and a simple shirt for that cool, casual look.   Upper Complete nubuck upper for that stylish look and comfort feel Long tongue for easy wear Rugged stitch detailing at the seams of the toe box Brand badge on lateral ankle Long collar for comfortable insertion and removal of foot Fabric footbed   Midsole PU midsole for lightweight comfort and impact protection   Outsole Durable rubber outsole with textured patterning  and a slightly upraised heel   shoe care Wipe leather surface with dry, clean cloth to remove dust Use a branded leather conditioner to maintain shine Use a suede brush to dust suede surface Do not store in direct sunlight",Red Tape Men Beige Shoes,Casual Shoes,34542.jpg,True
47110.jpg,-,Marvel Boys Blue & Red Spiderman Shoes,Casual Shoes,47110.jpg,True
4121.jpg,"Round toed green and white casual shoes with a canvas upper for extra durability and style Cotton knit tonal laces running through metallic eyelets for longer life and snug fit Canvas stylish side strips in contrast colour, synthetic rubber toe box for extra durability and protection of the forefoot Paneled heel guard for added durability and comfort with Puma branding embroidered Comfort insole with canvas tongue to ensure a snug, comfortable fit Textile lining for added comfort, made of high traction gum rubber, rubber toe guard strip with tonal sidewall trip Textured to suit the anatomy of the feet for maximum grip Reinforced heel with dip in back collar line to prevent Achilles tendon irritation Warranty: 3 months against manufactuting defects Warranty provided by the brand owner / manufacturer",Puma Unisex 917 Lo Green & White Shoes,Casual Shoes,4121.jpg,True
1964.jpg,The quintessential canvas shoes for that classic next-door boy look!,ADIDAS Men's Blue Canvas Shoe,Casual Shoes,1964.jpg,True
18402.jpg,"With a sporty look and stylish design, this leather shoe from skechers doubles up as a perfect trainer and fashionable casual sport wear.   Upper  Leather upper with synthetic wraparound overlays that have slits to offer breathable comfort  Padded tongue and collar for a snug Fit Lacing system for a snug, customised fit Padded footbed for all-day comfort   Midsole  EVA midsole for impact protection   Outsole  TPR outsole with lugs and grooves on the forefoot,and grooves on the heel for absolute grip and traction    Shoe care  Wipe surface with a clean, dry cloth to remove dust Use a branded leather conditioner if needed Do not store in direct sunlight",Skechers Men USA Black Shoe,Casual Shoes,18402.jpg,True
5339.jpg,"Get ready to hang out in style and comfort in these Maverick Lowsfrom fila. This is a fresh take on the classic tennis shoe design. Team these with jeans and tees for a cool casual look. Upper   Double mock uppers with textile lining for maximum comfort and protection  Lace-ups for snug Fit  Brand logo on the side of heel in stylized design  Brand logo appliquéd on the tongue  Gum rubber toe guard for protection   Midsole   Lightly cushioned footbed for all day comfort  EVA midsole for lightweight comfort and shock absorption   Outsole   Gum rubber outsole with diagonal multi-directional grooves for greater grip and traction   Shoe care Rub surface with clean, damp cloth to remove dirt Do not machine wash",Fila Men's Union Navy Pink Shoe,Casual Shoes,5339.jpg,True
22854.jpg,"woodland, a giant in the outdoor shoe industry, comes up with this rugged shoe with a refined stance. Stylishly eclectic overlays on the woodsy upper adds an aesthetic referenced from the outdoors. Crafted with hand-picked Italian leather and soles finished with German technology, your footwear closet is incomplete without a Woodland shoe. Wear this with cargos, chinos or washed denims and a checked casual shirt. Style this with tonal belts. Upper Two-tone synthetic upper with leather overlays across the toe box, on the midfoot and on the collar Central lace ups with elasticated loops on one side and metal eyelets on the other Padded tongue Padded insole for in-step comfort Removable sockliner to accommodate an orthotic Midsole Rubber midsole for cushioned comfort Outsole Dual density TPU outsole with a curved midfoot for ergonomic comfort Geometric grooves on the forefoot and terraced lugs on the heel Outsole reinforced onto the upper as a heel guard, with branding Shoe care Wipe surface with soft, clean, damp cloth to remove dust Use a suede brush to remove dust from suede parts Do not store in direct sunlight",Woodland Men Khaki Casual Shoes,Casual Shoes,22854.jpg,True
11841.jpg,Style Description,Playboy Men Casual Brown Casual Shoes,Casual Shoes,11841.jpg,True
3564.jpg,"Composition Brown shoes made with leather/synthetic upper, phylon midsole, carbon rubber outsole and comes with an additonal pair of laces shoe care 1. Rub surface with soft, clean cloth to remove dust 2. Do not machine wash A perfect footwear for those casual outings and to the gym, this ppair of shoes from skechers has all that it needs to make it comfortable for the feet, without compromising on style. Replete with a highly cushioned midsole, especially towards the heel, the outsole is studded with small lugs to ensure proper grip and support on rough surfaces, while the forefoot area of the outsole is ridged with an impact guidance system in place. The cushioned tongue and sockliner keep the feet snug and comfortable, while the nubs on the backfoot ensure proper traction. Fabric strips binding together the sole and upper and the stitch detailaing on the upper give it a retro look, while the perforations on the upper ensure your feet are kept dry and well ventilated throughout.",Skechers Men Sage Brown Lifestyle Casual Shoe,Casual Shoes,3564.jpg,True
39306.jpg,-,Red Chief Men Black Casual Shoes,Casual Shoes,39306.jpg,True
14335.jpg,"Get ready to take on the outdoors in style in these Prowl shoes from nike. The sleek design of these shoes makes it possible to pair them with jeans and tees for a cool casual look. Upper Synthetic upper for protection and durability Perforations on the toebox and sides for greater breathability Lace-ups for a snug, customised Fit Cushioned collar and mesh tongue for greater comfort and ample ventilation Mildly cushioned sockliner for in-step comfort Brand name on the tongue and collar Embroidered brand logo on the sides Midsole Removable footbed to accommodate an orthotic Dynamic support system to adapt to your stride Outsole Durable rubber outsole with herringbone pattern for maximum grip and traction Pivot points on the big toe mound and heel, coupled with circular and square lugs to offer a smooth ride shoe care Do not machine wash or store in direct sunlight Remove dust and dirt with a dry clean cloth",Nike Men Prowl Black Casual Shoes,Casual Shoes,14335.jpg,True
38524.jpg,"Style Note  puma has its roots in Germany, and the brand is known for its minimalist design in high-end athletic footwear. Crafted in the brand's signature style, these shoes are the right solution for brand conscious comfort junkies. This pair is great for regular wear as they ensure superior traction and protection to the feet, without compromising on comfort and style.   Product Description  Round toed Sports shoe with a mesh upper and synthetic overlays  Padded interiors with reinforced overlay and a pull loop at the heal collar  Form stripes on one side, with symmetric design  TPU outsole with an upraised and decoupled heel, has honeycomb nubs at the forefoot region and is arched at the midfoot   Material and Care  Mesh, synthetic  Do not machine wash  Remove dust and dirt with dry clean cloth",Puma Men White Surge Shoes,Casual Shoes,38524.jpg,True
36487.jpg,"Style Note Created for today's generation, this spinn Newport shoe embodies the brand's motto - combining technology and high-octane fashion. We think these are just right for braving the urban jungle, thanks to their nonchalantly sturdy aesthetics. An all-weather staple, the style perfectly suits the cosmopolitan vibe you love! Product Details Round toed casual shoe in chocolate brown and beige with a flat heel and lace-up fastening with thick, wax-coated laces for slip free knotting Leather and suede upper with overlays Well padded collar and tongue (with branding) EVA padded midsole with foxing at the toe and back foot region TPR outsole with patterned grooves Material and Care Leather and synthetic Do not machine wash or store in direct sunlight Remove dust with a dry clean cloth or leather brush",Spinn Men Newport Brown Shoes,Casual Shoes,36487.jpg,True
34753.jpg,"German brand puma is known for its high-end athletic footwear with simple, stylish designs. This  pair of El Vuelo mid-top shoes from puma comes with a comfortable footbed and classic stitch detailing coupled with a leather upper. The TPU outsole ensures great grip on damp surfaces, making it a great casual wear foot-style choice.   Upper Mid-top styling on textured leather with synthetic overlays Central lace ups Padded tongue and heel collar Stitch detail along the seams of the toe box Velcro strap at the back of the ankle for a snug Fit Zipper for ease of wearing at the heel collar, under the Velcro strap   Midsole Soft, cushioned footbed for all-day comfort Puma cat logo on the PU midsole for style   Outsole TPU outsole with terraced lugs and branding for grip and traction   shoe care Wipe surface with soft, clean, damp cloth Do not machine wash",Puma Men EI Vuelo Mid Leather Black Shoes,Casual Shoes,34753.jpg,True
22098.jpg,"Structured sneakers from numero uno for the cosmopolitan male. Minimal outer with powerful stitch detailing, styling the shoe into a sleek silhouette of sport perfection. These disctinctive shoes add an authentic sportswear accent to your ensemble. Wear this with leather jackets or blazers, jeans and a tee or a shirt. This NU pair cuts a dash to downtime dressing, while lending your outfit a relaxed vibe.  Upper Synthetic leather upper Reinforced overlays on the toe box, rear foot and heel collar for support Central lacing systemwith a padded tongue Fabric lining Pull loop at the collar Outsole reinforced onto the heel for comfort  Midsole EVA midsole with PU foxing on the toe box  Outsole TPU outsole with textured grooves  Shoe care Wipe surface with soft, clean, cloth or brush, cold water and mild detergent to remove dust Do not machine wash or use a drier Avoid storing shoes in extremely hot conditions or in direct sunlight",Numero Uno Men Casual Navy Blue Shoes,Casual Shoes,22098.jpg,True
37957.jpg,"A pair of brown loafers Leather upper, has a reinforced heel collar Padded footbed Textured rubber outsole with patterned grooves Warranty: 3 months from the date of purchase against manufacturing defects only Warranty provided by the brand owner / manufacturer",Clarks Men Brown Leather Loafers,Casual Shoes,37957.jpg,True
